148,영원무역,"59,500","하락
				300",-0.50%,500,"26,365","44,311",29.73,"34,409",6.12,12.32,
149,TIGER 미국필라델피아반도체나스닥,"20,560","상승
				200",+0.98%,0,"26,276","127,800",0.38,"1,312,882",N/A,N/A,
150,아모레퍼시픽홀딩스,"32,850","상승
				50",+0.15%,500,"26,102","79,458",10.30,"133,704",11.68,7.57,
151,현대해상,"28,350","상승
				250",+0.89%,500,"25,345","89,400",34.69,"536,551",3.72,15.75,
152,KODEX 레버리지,"24,745","상승
				150",+0.61%,0,"25,190","101,800",0.32,"29,877,384",N/A,N/A,
153,한국콜마,"105,600","하락
				3,600",-3.30%,500,"24,927","23,605",40.62,"192,914",25.70,12.50,
154,제일기획,"21,650","하락
				50",-0.23%,200,"24,906","115,041",23.70,"219,596",12.89,15.12,
155,iM금융지주,"14,900","하락
				100",-0.67%,"5,000","24,793","166,393",43.44,"944,923",9.77,3.60,
156,한전KPS,"54,800","하락
				900",-1.62%,200,"24,660","45,000",12.58,"142,651",17.60,13.26,
157,농심,"399,500",보합0,0.00%,"5,000","24,300","6,083",18.31,"12,508",15.56,6.17,
158,더존비즈온,"79,600","하락
				1,400",-1.73%,500,"24,185","30,383",9.29,"167,220",45.02,12.17,
159,RISE 머니마켓액티브,"54,417","상승
				7",+0.01%,0,"23,255","42,734",1.21,"253,553",N/A,N/A,
160,HD현대인프라코어,"11,920","하락
				160",-1.32%,"1,000","22,957","192,591",14.79,"779,410",28.86,5.92,
161,한국앤컴퍼니,"23,750","상승
				100",+0.42%,500,"22,547","94,935",10.31,"169,023",6.40,8.28,
162,KODEX CD1년금리플러스액티브(합성),"1,022,770","상승
				55",+0.01%,0,"22,417","2,192",0.00,"18,636",N/A,N/A,
163,ACE 미국30년국채액티브(H),"7,672","상승
				2",+0.03%,0,"22,402","292,000",0.01,"1,724,118",N/A,N/A,
164,한화엔진,"26,700","하락
				200",-0.74%,"1,000","22,280","83,447",12.97,"296,398",26.62,25.64,
165,롯데쇼핑,"78,200","하락
				600",-0.76%,"5,000","22,122","28,289",9.04,"50,988",-2.15,-7.75,
166,미스토홀딩스,"36,800","하락
				200",-0.54%,"1,000","22,115","60,096",38.69,"86,509",23.54,4.30,
167,한온시스템,"3,240","상승
				10",+0.31%,100,"21,992","678,763",5.04,"456,270",-4.70,-13.90,
168,코리안리,"11,160","하락
				180",-1.59%,500,"21,742","194,821",27.58,"197,389",6.15,9.45,
169,ACE 미국S&P500,"21,660","상승
				145",+0.67%,0,"21,703","100,200",0.07,"321,333",N/A,N/A,
170,TIGER 미국배당다우존스,"12,035","상승
				115",+0.96%,0,"21,543","179,000",0.02,"1,036,891",N/A,N/A,
171,팬오션,"4,025","상승
				75",+1.90%,"1,000","21,516","534,570",15.39,"3,783,214",7.70,5.17,
172,CJ대한통운,"94,300","상승
				1,500",+1.62%,"5,000","21,512","22,812",13.91,"86,707",9.15,6.58,
173,엘앤에프,"58,300","상승
				6,200",+11.90%,500,"21,172","36,316",16.47,"1,128,391",-5.61,-41.74,
174,BGF리테일,"120,300","하락
				3,500",-2.83%,"1,000","20,793","17,284",28.25,"69,017",11.23,17.29,
175,아시아나항공,"10,020","상승
				10",+0.10%,"5,000","20,640","205,991",2.86,"112,538",-9.11,-53.21,
176,KODEX 코스닥150레버리지,"8,545","상승
				135",+1.61%,0,"20,525","240,200",0.30,"26,968,543",N/A,N/A,
177,DB하이텍,"46,150","하락
				50",-0.11%,"5,000","20,490","44,399",26.57,"168,869",8.87,12.44,
178,씨에스윈드,"48,250","상승
				800",+1.69%,500,"20,348","42,171",12.89,"232,616",7.37,13.92,
179,SK아이이테크놀로지,"28,500","하락
				250",-0.87%,"1,000","20,320","71,298",6.73,"149,372",-9.88,-10.41,
180,한솔케미칼,"176,900","상승
				6,900",+4.06%,"5,000","20,052","11,335",33.55,"128,588",15.75,13.48,
181,동원산업,"49,700","하락
				300",-0.60%,"1,000","19,693","39,624",2.00,"25,109",27.77,2.74,
182,호텔신라,"49,800","상승
				50",+0.10%,"5,000","19,546","39,248",12.70,"193,934",-30.15,-6.50,
183,DL이앤씨,"49,550","상승
				300",+0.61%,"5,000","19,173","38,694",29.12,"246,012",9.11,4.77,
184,다우기술,"41,750","상승
				500",+1.21%,500,"18,732","44,867",24.56,"106,182",5.28,13.16,
185,대웅제약,"161,000","하락
				1,500",-0.92%,"2,500","18,654","11,587",8.88,"23,741",48.48,3.17,
186,영원무역홀딩스,"138,000","하락
				1,700",-1.22%,500,"18,629","13,499",20.74,"10,050",5.68,13.17,
187,일진전기,"38,050","하락
				850",-2.19%,"1,000","18,144","47,685",9.87,"329,224",32.14,10.60,
188,SNT다이내믹스,"54,300","하락
				1,200",-2.16%,"2,500","18,056","33,253",8.27,"61,052",17.87,12.90,
189,GS건설,"20,900","상승
				50",+0.24%,"5,000","17,887","85,581",23.16,"378,992",12.87,5.63,
190,신세계,"185,400","하락
				2,400",-1.28%,"5,000","17,882","9,645",11.97,"21,872",29.18,2.54,
191,현대백화점,"78,600","상승
				300",+0.38%,"5,000","17,786","22,629",22.94,"42,168",-49.97,-0.81,
192,OCI홀딩스,"93,100","상승
				9,100",+10.83%,"5,000","17,517","18,815",18.26,"668,064",-22.62,2.54,
193,TIGER 25-10 회사채(A+이상)액티브,"55,147","상승
				17",+0.03%,0,"17,284","31,342",0.20,"75,699",N/A,N/A,
194,파라다이스,"18,790","상승
				390",+2.12%,500,"17,142","91,230",7.46,"1,013,651",21.35,4.97,
195,대우건설,"4,090","하락
				65",-1.56%,"5,000","16,999","415,623",11.79,"1,118,618",8.43,5.62,
196,HL만도,"35,250","하락
				100",-0.28%,"1,000","16,552","46,957",25.86,"205,788",90.85,5.47,
197,오뚜기,"407,500","상승
				1,000",+0.25%,"5,000","16,332","4,008",11.93,"4,659",13.34,6.86,
198,HD현대마린엔진,"47,650","하락
				1,600",-3.25%,"2,500","16,164","33,921",12.41,"317,531",18.48,28.34,
199,ACE 미국나스닥100,"23,930","상승
				65",+0.27%,0,"16,129","67,400",0.02,"299,211",N/A,N/A,
200,대웅,"27,700","하락
				200",-0.72%,500,"16,105","58,142",5.58,"239,608",25.58,5.99,
